year,race,networth,pctle,diff
2007,White,-36245.8700620307,1,0
2010,White,-86436.7092552197,1,-50190.839193189
2013,White,-85787.9069767442,1,-49542.0369147135
2016,White,-71400,1,-35154.1299379693
2007,White,-18539.8204374796,2,0
2010,White,-53663.71143658461,2,-35123.890999105
2013,White,-50647.8604651163,2,-32108.040027636696
2016,White,-44300,2,-25760.1795625204
2007,White,-11070.6235716618,3,0
2010,White,-36254.7834216267,3,-25184.1598499649
2013,White,-29180.261627907,3,-18109.6380562452
2016,White,-29390,3,-18319.3764283382
2007,White,-6832.28860594189,4,0
2010,White,-23211.9040199439,4,-16379.615414002012
2013,White,-19560.0552325581,4,-12727.766626616212
2016,White,-20100,4,-13267.711394058111
2007,White,-2316.0300359125,5,0
2010,White,-15364.0698036772,5,-13048.0397677647
2013,White,-12682.5872093023,5,-10366.557173389801
2016,White,-11780,5,-9463.9699640875
2007,White,-440.045706823376,6,0
2010,White,-9946.85353692739,6,-9506.807830104015
2013,White,-8321.01453488372,6,-7880.968828060343
2016,White,-7900,6,-7459.954293176624
2007,White,0,7,0
2010,White,-6079.30819569959,7,-6079.30819569959
2013,White,-4743.08139534884,7,-4743.08139534884
2016,White,-4600,7,-4600
2007,White,185.282402873,8,0
2010,White,-3371.25272670614,8,-3556.53512957914
2013,White,-2113.76453488372,8,-2299.04693775672
2016,White,-1900,8,-2085.282402873
2007,White,1158.01501795625,9,0
2010,White,-1215.86163913992,9,-2373.8766570961698
2013,White,0,9,-1158.01501795625
2016,White,-29,9,-1187.01501795625
2007,White,2200.22853411688,10,0
2010,White,0,10,-2200.22853411688
2013,White,72.1773255813954,10,-2128.0512085354844
2016,White,360,10,-1840.22853411688
2007,White,3242.44205027751,11,0
2010,White,44.2131505141789,11,-3198.2288997633314
2013,White,567.107558139535,11,-2675.3344921379753
2016,White,1050,11,-2192.44205027751
2007,White,4539.41887038851,12,0
2010,White,862.156435026488,12,-3677.262435362022
2013,White,1546.65697674419,12,-2992.7618936443205
2016,White,1800,12,-2739.41887038851
2007,White,5917.45674175645,13,0
2010,White,1879.0588968526,13,-4038.3978449038505
2013,White,2990.20348837209,13,-2927.2532533843605
2016,White,3172,13,-2745.4567417564504
2007,White,7179.69311132876,14,0
2010,White,3205.45341227797,14,-3974.23969905079
2013,White,3897.57558139535,14,-3282.11752993341
2016,White,4370,14,-2809.69311132876
2007,White,8569.31113287626,15,0
2010,White,4144.98286070427,15,-4424.328272171991
2013,White,4959.61337209302,15,-3609.6977607832405
2016,White,5450,15,-3119.3111328762607
2007,White,10063.1505060398,16,0
2010,White,5228.20504830165,16,-4834.945457738149
2013,White,6289.73837209302,16,-3773.4121339467792
2016,White,6630,16,-3433.1505060397994
2007,White,11927.554684949402,17,0
2010,White,6311.42723589903,17,-5616.127449050372
2013,White,7970.43895348837,17,-3957.115731461032
2016,White,8320,17,-3607.554684949402
2007,White,13618.2566111655,18,0
2010,White,7350.43627298224,18,-6267.82033818326
2013,White,9073.72093023256,18,-4544.5356809329405
2016,White,1e4,18,-3618.2566111654996
2007,White,16096.408749591901,19,0
2010,White,8444.71174820816,19,-7651.697001383742
2013,White,10022.3372093023,19,-6074.0715402896
2016,White,11410,19,-4686.408749591901
2007,White,18678.7822396343,20,0
2010,White,10069.5450296042,20,-8609.2372100301
2013,White,11343.1822674419,20,-7335.5999721924
2016,White,13450,20,-5228.7822396343
2007,White,22233.88834476,21,0
2010,White,11617.0052976005,21,-10616.883047159497
2013,White,12960.9854651163,21,-9272.902879643698
2016,White,16400,21,-5833.888344759998
2007,White,25233.1472412667,22,0
2010,White,13374.4780305391,22,-11858.6692107276
2013,White,14951.0174418605,22,-10282.129799406199
2016,White,18900,22,-6333.147241266699
2007,White,29216.7189030362,23,0
2010,White,15507.7625428482,23,-13708.956360187998
2013,White,17116.3372093023,23,-12100.3816937339
2016,White,21540,23,-7676.718903036199
